Rank,Name,Year,Genre,Publisher,Global_Sales
16006,Serious Sam II,2005,Shooter,Take-Two Interactive,10000
16011,Neverwinter Nights 2: Mask of the Betrayer,2007,Role-Playing,Atari,10000
16013,Call of Juarez,2006,Shooter,Ubisoft,10000
16016,Codename: Panzers Phase Two,2005,Strategy,CDV Software Entertainment,10000
16018,Rise of Flight: Iron Cross Edition,2010,Simulation,Aerosoft,10000
16020,Unreal Tournament 2003,2002,Shooter,Atari,10000
16028,The Last Remnant,2009,Role-Playing,Square Enix,10000
16043,Impossible Creatures,2002,Strategy,Microsoft Game Studios,10000
16048,Guitar Hero III: Legends of Rock,2007,Misc,Aspyr,10000
16049,Blitzkrieg 2 Anthology,2008,Strategy,Ascaron Entertainment GmbH,10000
16050,Rayman Raving Rabbids,2006,Misc,Ubisoft,10000
16053,Coronation Street: The Mystery of the Missing Hotpot Recipe,2011,Adventure,Avanquest,10000
16054,Battle Worlds: Kronos,2016,Strategy,Nordic Games,10000
16064,Digger Simulator,2011,Simulation,Excalibur Publishing,10000
16070,IL-2 Sturmovik,2001,Simulation,Blue Byte,10000
16073,East India Company,2009,Strategy,Paradox Interactive,10000
16076,Empire Deluxe,1992,Strategy,New World Computing,10000
16083,Virtua Tennis 3,2007,Sports,Sega,10000
16096,Grand Theft Auto III,2002,Action,Take-Two Interactive,10000
16112,Paranormal Pursuit: The Gifted One,2015,Action,Alawar Entertainment,10000
16118,Brain Exercise With Dr. Kawashima,2009,Puzzle,Namco Bandai Games,10000
16121,Football Manager 2005,2004,Sports,Sega,10000
16125,Theatre Of War,2007,Strategy,Kalypso Media,10000
16131,Voodoo Chronicles: First Sign,2011,Adventure,ValuSoft,10000
16143,BlazBlue: Calamity Trigger,2010,Fighting,PQube,10000
16146,Harry Potter and the Chamber of Secrets,2002,Action,Electronic Arts,10000
16148,Mystery Legends: Beauty and the Beast,2012,Puzzle,Focus Multimedia,10000
16163,Raven Squad: Operation Hidden Dagger,2009,Shooter,Evolved Games,10000
16165,Tiger Woods PGA Tour 2005,2004,Sports,Electronic Arts,10000
16166,Deus Ex,2000,Role-Playing,Eidos Interactive,10000
16174,Dark Parables: The Exiled Prince,2011,Puzzle,Unknown,10000
16180,Rail Simulator,2007,Simulation,Electronic Arts,10000
16189,BattleForge,2009,Strategy,Electronic Arts,10000
16190,Jewel Quest II,2007,Puzzle,Avanquest,10000
16192,Sonic & All-Stars Racing Transformed,2013,Racing,Sega,10000
16198,Legoland,1999,Action,LEGO Media,10000
16224,Spider-Man: Friend or Foe,2007,Action,Activision,10000
16236,Marvel: Ultimate Alliance,2006,Role-Playing,Activision,10000
16245,F.E.A.R. Perseus Mandate,2007,Shooter,Vivendi Games,10000
16247,Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,10000
16248,FlatOut: Ultimate Carnage,2008,Racing,Empire Interactive,10000
16259,Conflict: Denied Ops,2008,Shooter,Eidos Interactive,10000
16261,Championship Manager 2010,2009,Sports,Eidos Interactive,10000
16276,Battlestations: Midway,2007,Strategy,Eidos Interactive,10000
16277,Farming Simulator 15 Expansion Pack,2015,Action,Focus Home Interactive,10000
16286,The Chronicles of Riddick: Assault on Dark Athena,2009,Shooter,Vivendi Games,10000
16289,War for the Overworld,2015,Strategy,Unknown,10000
16290,TimeShift,2007,Shooter,Vivendi Games,10000
16292,The Train Giant,2012,Strategy,Ascaron Entertainment,10000
16326,MXGP 2,2016,Racing,Milestone S.r.l.,10000
16342,Command & Conquer Renegade,2002,Shooter,Electronic Arts,10000
16347,Cities: Skylines Snowfall,2016,Simulation,Paradox Development,10000
16351,Dungeons & Dragons: Neverwinter Nights - Complete,2011,Misc,Atari,10000
16355,Juiced 2: Hot Import Nights,2007,Racing,THQ,10000
16357,Monster Jam,2007,Racing,Activision,10000
16358,Icewind Dale II,2002,Role-Playing,Interplay,10000
16364,Act of Aggression,2015,Strategy,Focus Home Interactive,10000
16366,Fallout Anthology,2015,Action,Bethesda Softworks,10000
16367,Tropico 3: Gold Edition,2010,Strategy,Kalypso Media,10000
16373,Gobliiins 4,2009,Adventure,Kalypso Media,10000
16378,Colin McRae Rally 04,2004,Racing,Codemasters,10000
16382,Grand Prix Legends,1997,Racing,Vivendi Games,10000
16387,Poker for Dummies,2008,Misc,Electronic Arts,10000
16389,TrackMania Turbo,2016,Action,Ubisoft,10000
16396,Alone in the Dark,2008,Adventure,Atari,10000
16402,The Technomancer,2016,Role-Playing,Focus Home Interactive,10000
16403,Pro Evolution Soccer 2010,2009,Sports,Konami Digital Entertainment,10000
16409,The Amazing Spider-Man 2 (2014),2014,Action,Activision,10000
16411,Sega Rally Revo,2007,Racing,Sega,10000
16423,Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment,10000
16436,Clive Barker's Jericho,2007,Shooter,Codemasters,10000
16439,Worms 2,1997,Strategy,Microprose,10000
16447,Madagascar: Escape 2 Africa,2008,Action,Activision,10000
16450,Legacy of Kain: Defiance,2003,Action,Eidos Interactive,10000
16452,King's Bounty: Armored Princess,2009,Role-Playing,1C Company,10000
16462,Rugby World Cup 2015,2015,Sports,Ubisoft,10000
16477,Total War Attila: Tyrants & Kings,2016,Strategy,Koch Media,10000
16482,Agatha Christie: Peril at End House,2009,Adventure,JoWood Productions,10000
16486,Hospital Tycoon,2007,Strategy,Codemasters,10000
16494,Summer Athletics,2008,Sports,DTP Entertainment,10000
16504,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",2010,Shooter,Activision,10000
16511,The Rise of the Argonauts,2008,Role-Playing,Codemasters,10000
16512,Trine,2009,Action,Nobilis,10000
16514,Pony Friends 2,2009,Simulation,Eidos Interactive,10000
16516,Deal or No Deal,2006,Misc,Focus Home Interactive,10000
16535,STORM: Frontline Nation,2011,Strategy,Unknown,10000
16539,Patrician IV: Gold Edition,2011,Misc,Kalypso Media,10000
16540,Transformers: Fall of Cybertron,2012,Action,Activision,10000
16542,Spore Galactic Adventures,2009,Strategy,Electronic Arts,10000
16543,15 Days,2009,Adventure,DTP Entertainment,10000
16548,The Treasures of Mystery Island 3 Pack - Save Mystery Island!,2011,Puzzle,Unknown,10000
16550,Bookworm Deluxe,2006,Puzzle,PopCap Games,10000
16558,Codename: Panzers Complete Collection,2016,Strategy,Nordic Games,10000
16561,Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,10000
16569,End of Nations,2012,Strategy,Trion Worlds,10000
16580,Damnation,2009,Shooter,Codemasters,10000
16588,Breach,2011,Shooter,Destineer,10000
16594,Myst IV: Revelation,2004,Adventure,Ubisoft,10000
